销售日期,花叶类,花菜类,水生根茎类,茄类,辣椒类,食用菌
2020-07-01,205.402,46.64,4.85,35.37400000000001,76.715,35.364999999999995
2020-07-02,198.362,43.943,4.6,32.199000000000005,66.064,48.51
2020-07-03,190.779,42.07599999999999,9.572,35.896,64.25300000000001,42.44199999999999
2020-07-04,236.58700000000002,55.66199999999999,5.439,57.06700000000001,81.28200000000002,47.262
2020-07-05,223.89900000000003,55.474000000000004,4.019,61.815999999999995,98.49600000000001,73.213
2020-07-06,195.74,42.721000000000004,3.0890000000000004,30.726999999999997,58.68199999999999,40.577999999999996
2020-07-07,172.05199999999996,45.749,3.1170000000000004,32.112,42.213,52.56000000000001
2020-07-08,152.57,45.43299999999999,10.604999999999999,39.67,65.88,43.968
2020-07-09,187.43900000000002,41.130999999999986,2.1060000000000003,25.920999999999996,58.859999999999985,37.837
2020-07-10,179.83300000000003,62.343999999999994,9.025,37.86,58.93600000000002,41.429
2020-07-11,270.343,76.564,8.928,68.27700000000002,85.93599999999999,52.23800000000001
2020-07-12,300.18899999999996,71.61500000000001,13.993999999999998,81.70600000000002,72.168,55.96000000000001
2020-07-13,190.832,32.028,11.605000000000002,44.37900000000001,61.23999999999998,42.11299999999999
2020-07-14,190.599,57.574999999999996,9.007000000000001,34.74699999999999,66.745,44.83599999999999
2020-07-15,217.442,37.961999999999996,10.238000000000001,38.17,73.35400000000003,42.19599999999999
2020-07-16,212.526,39.449999999999996,11.354,26.586,72.65599999999998,53.25899999999999
2020-07-17,195.67000000000002,44.19799999999999,10.727,37.251,61.02499999999999,51.908000000000015
2020-07-18,274.26500000000004,61.08800000000002,10.418000000000001,56.585,85.05100000000002,71.692
2020-07-19,319.79100000000005,76.35100000000001,11.123999999999999,71.772,102.711,79.82100000000001
2020-07-20,204.99699999999996,47.431,9.547999999999998,33.947,67.35,52.617
2020-07-21,214.99,49.005,12.744,27.093999999999994,56.992999999999995,45.905
2020-07-22,232.41,53.675000000000004,10.849999999999998,48.24700000000001,81.309,66.678
2020-07-23,199.98399999999998,39.425000000000004,30.417,44.141999999999996,57.639,56.759000000000015
2020-07-24,176.325,37.69499999999999,11.740000000000002,34.97,57.58000000000003,49.201
2020-07-25,227.137,57.42099999999999,10.424,61.873999999999995,94.20600000000002,67.01300000000002
2020-07-26,250.825,64.119,12.988,69.521,102.061,71.295
2020-07-27,198.00900000000001,42.876,17.264999999999997,36.120999999999995,71.402,52.776999999999994
2020-07-28,165.44299999999998,34.937,13.959,40.339999999999996,66.00100000000005,47.727999999999994
2020-07-29,193.72899999999998,42.22,18.597,40.777,82.49400000000004,54.315
2020-07-30,201.74300000000005,38.198,10.644999999999996,46.311,67.64300000000001,50.773999999999994
2020-07-31,197.16600000000003,37.549,19.062,34.092,41.104,45.586999999999996
2020-08-01,229.89000000000001,54.36200000000001,21.432000000000002,48.80500000000001,66.15599999999999,53.797
2020-08-02,243.138,49.218999999999994,56.154,50.893,67.963,54.961
2020-08-03,207.84300000000002,44.426,15.555,45.191,86.47400000000006,48.574999999999996
2020-08-04,180.012,44.534,26.208,30.591,73.36500000000001,45.301
2020-08-05,244.39500000000004,43.631,21.452000000000005,49.472,82.22900000000001,62.84
2020-08-06,234.77700000000002,40.827,19.115000000000002,31.595999999999997,74.047,48.611000000000004
2020-08-07,204.941,40.272000000000006,25.415,51.799,78.61100000000002,68.177
2020-08-08,311.16099999999994,58.15600000000002,27.461000000000006,63.763999999999996,100.29199999999997,92.144
2020-08-09,250.58999999999997,54.87600000000002,25.900000000000002,51.834999999999994,73.684,73.07300000000002
2020-08-10,210.292,50.7,30.683000000000003,47.663999999999994,78.73499999999999,36.094
2020-08-11,216.713,56.27899999999998,20.458000000000002,33.572,73.292,40.01699999999999
2020-08-12,206.877,50.065,27.354999999999997,36.009,85.16600000000004,34.195
2020-08-13,188.20800000000003,47.468,19.324,31.109,61.767999999999994,35.64999999999999
2020-08-14,217.75799999999998,58.581999999999994,29.991,37.826,76.48900000000003,53.79499999999999
2020-08-15,245.13600000000002,79.38000000000004,25.642,43.279,94.285,58.01499999999999
2020-08-16,241.48000000000002,60.23100000000001,24.454,48.366,95.28500000000001,55.093
2020-08-17,215.63299999999998,51.74900000000001,15.915999999999997,35.013999999999996,72.95300000000003,47.418
2020-08-18,225.11300000000003,55.92,21.753000000000004,34.019,76.92000000000002,45.71600000000001
2020-08-19,214.173,64.06099999999999,17.949999999999996,30.347,80.91900000000001,50.12599999999999
2020-08-20,233.53199999999998,69.58699999999999,22.965999999999998,37.95700000000001,75.95300000000003,54.410999999999994
2020-08-21,207.076,50.062,34.598,29.694,85.19799999999998,50.0
2020-08-22,273.081,55.885999999999996,42.772000000000006,30.422,116.80099999999996,49.895
2020-08-23,261.552,71.556,46.05700000000002,47.316,93.714,55.226000000000006
2020-08-24,260.694,41.784,20.305,26.874,97.07899999999998,39.576
2020-08-25,343.42700000000013,47.760999999999996,20.062000000000005,23.272,107.21300000000002,54.488
2020-08-26,241.686,82.544,18.950000000000003,30.722,82.32,42.811
2020-08-27,199.007,92.50599999999997,19.487000000000002,19.129,89.92000000000002,50.458
2020-08-28,195.03199999999998,39.93,20.996999999999996,24.597,156.11,55.659000000000006
2020-08-29,267.031,56.803,65.814,30.674999999999997,145.627,62.43099999999998
2020-08-30,266.387,80.779,30.005000000000003,21.641000000000005,155.81100000000004,73.19500000000001
2020-08-31,224.88199999999998,54.721999999999994,52.949,15.943,117.96500000000006,44.775999999999996
2020-09-01,190.62699999999998,55.858000000000004,47.65799999999999,26.329,102.50400000000002,47.282000000000004
2020-09-02,179.819,38.715999999999994,17.941000000000003,13.873000000000001,83.96900000000004,51.010999999999996
2020-09-03,193.463,38.89299999999999,15.995999999999997,14.172,87.11900000000003,48.163
2020-09-04,176.316,46.612,16.634999999999998,20.233,91.579,54.43
2020-09-05,249.55900000000003,57.828,42.554,33.731,110.43900000000004,62.59400000000001
2020-09-06,275.793,53.202000000000005,46.96300000000001,33.397,126.49999999999996,78.472
2020-09-07,148.221,26.256999999999998,38.92599999999999,17.365,56.473,41.804
2020-09-08,158.329,33.23899999999999,19.127,20.622999999999998,50.259,32.388999999999996
2020-09-09,131.492,32.730000000000004,12.161000000000001,12.041,39.795,33.449999999999996
2020-09-10,119.919,57.31900000000001,14.492,16.916,49.32100000000001,35.789
2020-09-11,151.957,31.538000000000004,13.363999999999995,22.019,50.22,48.467
2020-09-12,231.525,43.337,16.957,21.411,74.51000000000002,73.173
2020-09-13,263.345,41.703999999999986,18.738999999999997,28.737,83.72300000000001,74.83400000000002
2020-09-14,175.844,64.25700000000002,17.361,16.134,48.55000000000001,31.146999999999995
2020-09-15,156.04800000000003,29.877999999999997,19.219000000000005,13.243000000000002,49.99100000000001,41.578
2020-09-16,176.949,59.448000000000015,18.818,15.194000000000003,46.895,35.41300000000001
2020-09-17,143.534,32.647999999999996,17.437,22.924,46.144999999999996,39.259
2020-09-18,154.388,27.705000000000005,11.389000000000001,13.805,48.075,38.541000000000004
2020-09-19,235.87399999999997,82.75999999999999,39.431000000000004,30.406,84.269,60.519999999999996
2020-09-20,317.998,53.497,39.551,41.474,99.14799999999997,50.42
2020-09-21,212.997,39.191,16.288999999999998,20.868000000000002,56.561,63.529
2020-09-22,232.24299999999997,40.904999999999994,37.808,25.819,77.00900000000001,49.05799999999999
2020-09-23,179.262,31.972,18.628999999999998,22.515,54.327,56.26499999999999
2020-09-24,162.86100000000002,38.952000000000005,51.886,18.9,50.48599999999998,61.011
2020-09-25,173.781,41.56099999999999,22.732,26.528999999999996,53.938,64.509
2020-09-26,226.92600000000002,86.64300000000003,65.74400000000003,33.517,68.09400000000005,94.495
2020-09-27,199.813,35.964,28.289,20.532,54.458999999999996,72.52199999999999
2020-09-28,114.93299999999999,24.576,11.860999999999999,18.401,37.41,46.913
2020-09-29,157.957,28.104999999999997,24.135,24.719,57.017,45.48500000000001
2020-09-30,177.12900000000002,60.771,36.83899999999999,25.865000000000002,53.628000000000014,110.358
2020-10-01,248.415,93.92799999999998,55.355999999999995,32.482,64.09200000000001,103.929
