销售日期,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.06972E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.0695E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14,1.029E+14
2020/7/1,11.476,8.959,41.966,4.119,32.579,6.841,34.554,5.472,0.731,22.402,11.352,17.713,17.661,2.623,3.039,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/7/2,6.806,14.275,44.873,4.342,27.056,8.112,30.109,0,0.258,22.549,11.556,17.767,14.432,0.857,3.124,13,5.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/7/3,13.12,8.173,36.309,9.572,36.709,7.694,26.46,0,0,13.734,11.125,18.343,17.553,2.09,2.306,12,9.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/7/4,28.186,13.034,51.205,3.107,43.33,0,42.815,0,2.332,0,20.571,24.022,33.045,0,4.099,15,10.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/7/5,12.038,10.791,34.249,4.019,12.594,6.021,42.365,0,0,55.159,30.937,24.423,26.966,0,3.568,13,15.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/7/6,13.458,10.162,36.532,3.089,11.053,5.854,24.434,0,0,15.903,14.131,16.434,8.96,5.682,3.539,10,10.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/7/7,9.861,11.478,30.058,3.117,28.214,8.062,23.05,0,0,14.121,11.756,17.512,14.6,3.416,5.059,10,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/7/8,12.569,8.835,21.339,2.366,9.732,9.079,24.641,0,0,18.985,7.927,21.082,18.588,1.146,4.429,6,20.043,8.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/7/9,10.182,8.685,33.109,2.106,14.213,9.78,25.205,0,0,19.198,17.546,8.217,9.949,1.123,4.013,9,9.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
