,0
西峡香菇(1),2
金针菇(1),9
杏鲍菇(1),18
海鲜菇(1),39
姬菇(1),34
金针菇(袋)(1),3
平菇,11
蟹味菇(2),38
白玉菇(2),32
海鲜菇(袋)(1),17
姬菇(包),5
杏鲍菇(袋),14
鲜木耳(1),41
白玉菇(袋),15
虫草花,49
双孢菇,29
西峡花菇(1),7
黑皮鸡枞菌,60
鸡枞菌,44
银耳(朵),35
绣球菌,57
虫草花(袋),20
猴头菇,44
秀珍菇,52
金针菇(袋)(3),8
蟹味菇(袋),27
牛排菇,31
海鲜菇(袋)(4),10
虫草花(盒)(2),44
活体银耳,44
白玉菇(1),48
杏鲍菇(250克),54
金针菇(袋)(2),6
蟹味菇(1),42
海鲜菇(包),12
黑牛肝菌(盒),59
赤松茸(盒),59
猪肚菇(盒),56
牛排菇(盒),46
黑皮鸡枞菌(盒),58
杏鲍菇(份),37
海鲜菇(袋)(3),13
蟹味菇(盒),40
白玉菇(盒),30
金针菇(盒),1
虫草花(份),21
姬菇(份),23
双孢菇(份),0
海鲜菇(份),16
姬菇(2),55
海鲜菇(2),45
鲜木耳(2),50
西峡香菇(2),26
西峡花菇(2),53
金针菇(2),28
杏鲍菇(2),24
绣球菌(袋),44
双孢菇(盒),4
鲜木耳(份),22
和丰阳光海鲜菇(包),36
金针菇(份),44
黑牛肝菌,44
西峡香菇(份) ,25
茶树菇(袋),43
海鲜菇(袋)(2),19
菌蔬四宝(份),47
菌菇火锅套餐(份),51
蟹味菇与白玉菇双拼(盒),33
花菇(一人份),62
鹿茸菇(盒),61
赤松茸,44
