,0
大白菜,2
上海青,10
菜心,21
云南生菜,9
甜白菜,19
云南油麦菜,3
苋菜,24
菠菜,12
红薯尖,6
竹叶菜,16
黄白菜(2),14
外地茼蒿,45
小白菜,35
木耳菜,33
娃娃菜,4
黄心菜(1),26
东门口小白菜,37
南瓜尖,0
牛首油菜,17
快菜,0
奶白菜,20
蔡甸藜蒿,39
紫苏,0
茼蒿,22
本地上海青,36
萝卜叶,47
枝江红菜苔,13
牛首生菜,28
荠菜,0
四川红香椿,46
豌豆尖,0
白菜苔,34
随州泡泡青,30
丝瓜尖,0
本地黄心油菜,31
紫贝菜,0
田七,0
油菜苔,0
青菜苔,0
马齿苋,0
甘蓝叶,0
面条菜,0
薄荷叶,0
鲜粽子叶,0
黑油菜,51
冰草,0
芥菜,0
菊花油菜,0
大芥兰,0
奶白菜苗,0
芥兰,0
蒲公英,0
黄花菜,0
小青菜(1),27
双沟白菜,0
菜心(份),32
茼蒿(份),42
小青菜(2),41
云南油麦菜(份),1
菠菜(份),15
上海青(份),11
云南生菜(份),7
枝江红菜苔(份),41
洪山菜苔,0
襄甜红菜苔(袋),0
紫苏(份),0
马兰头,0
竹叶菜(份),23
鱼腥草,0
春菜,0
红薯尖(份),38
蔡甸藜蒿(份),0
红橡叶,0
绿牛油,0
红珊瑚(粗叶),0
保康高山大白菜,5
苋菜(份),40
槐花,0
奶白菜(份),8
黄心菜(2),25
小青菜(份),18
小白菜(份),43
鲜粽叶(袋)(2),0
芝麻苋菜,0
鲜粽叶,0
鲜粽叶(袋)(1),29
艾蒿,0
鱼腥草(份),44
外地茼蒿(份),50
本地小毛白菜,0
黄白菜(1),49
龙牙菜,49
冰草(盒),0
洪山菜薹珍品手提袋,0
洪山菜薹莲藕拼装礼盒,0
白蒿,0
大白菜秧,0
鲜粽叶(袋)(3),48
木耳菜(份),0
