,0
大白菜,3
上海青,12
菜心,9
云南生菜,7
甜白菜,19
云南油麦菜,16
苋菜,20
菠菜,17
红薯尖,4
竹叶菜,23
黄白菜(2),18
外地茼蒿,10
小白菜,10
木耳菜,10
娃娃菜,8
黄心菜(1),24
东门口小白菜,10
南瓜尖,10
牛首油菜,15
快菜,10
奶白菜,22
蔡甸藜蒿,10
紫苏,10
茼蒿,17
本地上海青,10
萝卜叶,10
枝江红菜苔,0
牛首生菜,10
荠菜,10
四川红香椿,10
豌豆尖,10
白菜苔,10
随州泡泡青,10
丝瓜尖,10
本地黄心油菜,21
紫贝菜,10
田七,10
油菜苔,10
青菜苔,10
马齿苋,10
甘蓝叶,10
面条菜,10
薄荷叶,10
鲜粽子叶,10
黑油菜,10
冰草,10
芥菜,10
菊花油菜,10
大芥兰,10
奶白菜苗,10
芥兰,10
蒲公英,10
黄花菜,10
小青菜(1),10
双沟白菜,10
菜心(份),21
茼蒿(份),10
小青菜(2),10
云南油麦菜(份),11
菠菜(份),5
上海青(份),21
云南生菜(份),2
枝江红菜苔(份),10
洪山菜苔,10
襄甜红菜苔(袋),10
紫苏(份),10
马兰头,10
竹叶菜(份),1
鱼腥草,10
春菜,10
红薯尖(份),1
蔡甸藜蒿(份),10
红橡叶,10
绿牛油,10
红珊瑚(粗叶),10
保康高山大白菜,6
苋菜(份),1
槐花,10
奶白菜(份),13
黄心菜(2),21
小青菜(份),14
小白菜(份),10
鲜粽叶(袋)(2),10
芝麻苋菜,10
鲜粽叶,10
鲜粽叶(袋)(1),10
艾蒿,10
鱼腥草(份),10
外地茼蒿(份),10
本地小毛白菜,10
黄白菜(1),10
龙牙菜,10
冰草(盒),10
洪山菜薹珍品手提袋,10
洪山菜薹莲藕拼装礼盒,10
白蒿,10
大白菜秧,10
鲜粽叶(袋)(3),10
木耳菜(份),10
