,0
大白菜,1
上海青,12
菜心,20
云南生菜,3
甜白菜,17
云南油麦菜,8
苋菜,6
菠菜,14
红薯尖,18
竹叶菜,23
黄白菜(2),13
外地茼蒿,46
小白菜,32
木耳菜,38
娃娃菜,4
黄心菜(1),26
东门口小白菜,39
南瓜尖,63
牛首油菜,22
快菜,54
奶白菜,27
蔡甸藜蒿,42
紫苏,16
茼蒿,24
本地上海青,37
萝卜叶,0
枝江红菜苔,11
牛首生菜,33
荠菜,16
四川红香椿,48
豌豆尖,59
白菜苔,34
随州泡泡青,40
丝瓜尖,16
本地黄心油菜,30
紫贝菜,16
田七,76
油菜苔,64
青菜苔,61
马齿苋,60
甘蓝叶,16
面条菜,16
薄荷叶,16
鲜粽子叶,16
黑油菜,49
冰草,74
芥菜,58
菊花油菜,67
大芥兰,67
奶白菜苗,68
芥兰,16
蒲公英,16
黄花菜,16
小青菜(1),25
双沟白菜,16
菜心(份),28
茼蒿(份),45
小青菜(2),50
云南油麦菜(份),2
菠菜(份),9
上海青(份),10
云南生菜(份),7
枝江红菜苔(份),41
洪山菜苔,65
襄甜红菜苔(袋),53
紫苏(份),69
马兰头,16
竹叶菜(份),19
鱼腥草,73
春菜,70
红薯尖(份),35
蔡甸藜蒿(份),57
红橡叶,16
绿牛油,16
红珊瑚(粗叶),16
保康高山大白菜,5
苋菜(份),43
槐花,16
奶白菜(份),15
黄心菜(2),29
小青菜(份),21
小白菜(份),36
鲜粽叶(袋)(2),16
芝麻苋菜,62
鲜粽叶,16
鲜粽叶(袋)(1),31
艾蒿,72
鱼腥草(份),44
外地茼蒿(份),51
本地小毛白菜,55
黄白菜(1),56
龙牙菜,52
冰草(盒),71
洪山菜薹珍品手提袋,16
洪山菜薹莲藕拼装礼盒,16
白蒿,16
大白菜秧,66
鲜粽叶(袋)(3),47
木耳菜(份),75
