,0
大白菜,3
上海青,1
菜心,19
云南生菜,7
甜白菜,12
云南油麦菜,14
苋菜,10
菠菜,18
红薯尖,17
竹叶菜,20
黄白菜(2),16
外地茼蒿,47
小白菜,31
木耳菜,34
娃娃菜,6
黄心菜(1),23
东门口小白菜,36
南瓜尖,63
牛首油菜,15
快菜,52
奶白菜,24
蔡甸藜蒿,39
紫苏,59
茼蒿,28
本地上海青,38
萝卜叶,44
枝江红菜苔,11
牛首生菜,32
荠菜,79
四川红香椿,51
豌豆尖,57
白菜苔,35
随州泡泡青,41
丝瓜尖,82
本地黄心油菜,27
紫贝菜,80
田七,76
油菜苔,65
青菜苔,61
马齿苋,62
甘蓝叶,71
面条菜,0
薄荷叶,71
鲜粽子叶,71
黑油菜,50
冰草,73
芥菜,60
菊花油菜,70
大芥兰,70
奶白菜苗,67
芥兰,71
蒲公英,71
黄花菜,71
小青菜(1),26
双沟白菜,71
菜心(份),25
茼蒿(份),40
小青菜(2),49
云南油麦菜(份),4
菠菜(份),13
上海青(份),9
云南生菜(份),8
枝江红菜苔(份),42
洪山菜苔,64
襄甜红菜苔(袋),54
紫苏(份),69
马兰头,71
竹叶菜(份),21
鱼腥草,72
春菜,77
红薯尖(份),37
蔡甸藜蒿(份),58
红橡叶,71
绿牛油,71
红珊瑚(粗叶),71
保康高山大白菜,2
苋菜(份),33
槐花,71
奶白菜(份),5
黄心菜(2),29
小青菜(份),22
小白菜(份),45
鲜粽叶(袋)(2),81
芝麻苋菜,66
鲜粽叶,71
鲜粽叶(袋)(1),30
艾蒿,74
鱼腥草(份),43
外地茼蒿(份),53
本地小毛白菜,55
黄白菜(1),48
龙牙菜,56
冰草(盒),75
洪山菜薹珍品手提袋,83
洪山菜薹莲藕拼装礼盒,71
白蒿,71
大白菜秧,68
鲜粽叶(袋)(3),46
木耳菜(份),78
