,0
西峡香菇(1),2
金针菇(1),11
杏鲍菇(1),20
海鲜菇(1),0
姬菇(1),38
金针菇(袋)(1),3
平菇,21
蟹味菇(2),37
白玉菇(2),30
海鲜菇(袋)(1),15
姬菇(包),27
杏鲍菇(袋),9
鲜木耳(1),42
白玉菇(袋),12
虫草花,50
双孢菇,32
西峡花菇(1),8
黑皮鸡枞菌,40
鸡枞菌,40
银耳(朵),33
绣球菌,40
虫草花(袋),6
猴头菇,40
秀珍菇,53
金针菇(袋)(3),10
蟹味菇(袋),28
牛排菇,40
海鲜菇(袋)(4),17
虫草花(盒)(2),40
活体银耳,40
白玉菇(1),44
杏鲍菇(250克),52
金针菇(袋)(2),4
蟹味菇(1),39
海鲜菇(包),14
黑牛肝菌(盒),40
赤松茸(盒),40
猪肚菇(盒),40
牛排菇(盒),45
黑皮鸡枞菌(盒),40
杏鲍菇(份),36
海鲜菇(袋)(3),13
蟹味菇(盒),41
白玉菇(盒),31
金针菇(盒),1
虫草花(份),24
姬菇(份),23
双孢菇(份),48
海鲜菇(份),22
姬菇(2),40
海鲜菇(2),47
鲜木耳(2),49
西峡香菇(2),25
西峡花菇(2),7
金针菇(2),29
杏鲍菇(2),16
绣球菌(袋),40
双孢菇(盒),5
鲜木耳(份),19
和丰阳光海鲜菇(包),35
金针菇(份),40
黑牛肝菌,40
西峡香菇(份) ,26
茶树菇(袋),43
海鲜菇(袋)(2),18
菌蔬四宝(份),46
菌菇火锅套餐(份),51
蟹味菇与白玉菇双拼(盒),34
花菇(一人份),40
鹿茸菇(盒),40
赤松茸,40
