,0
大白菜,1
上海青,16
菜心,23
云南生菜,7
甜白菜,14
云南油麦菜,12
苋菜,20
菠菜,15
红薯尖,22
竹叶菜,8
黄白菜(2),2
外地茼蒿,41
小白菜,35
木耳菜,39
娃娃菜,6
黄心菜(1),26
东门口小白菜,36
南瓜尖,62
牛首油菜,19
快菜,0
奶白菜,18
蔡甸藜蒿,43
紫苏,21
茼蒿,25
本地上海青,37
萝卜叶,50
枝江红菜苔,11
牛首生菜,33
荠菜,21
四川红香椿,48
豌豆尖,57
白菜苔,32
随州泡泡青,42
丝瓜尖,21
本地黄心油菜,30
紫贝菜,21
田七,21
油菜苔,65
青菜苔,61
马齿苋,63
甘蓝叶,21
面条菜,21
薄荷叶,21
鲜粽子叶,21
黑油菜,52
冰草,21
芥菜,60
菊花油菜,21
大芥兰,21
奶白菜苗,67
芥兰,21
蒲公英,21
黄花菜,21
小青菜(1),24
双沟白菜,21
菜心(份),17
茼蒿(份),44
小青菜(2),53
云南油麦菜(份),9
菠菜(份),13
上海青(份),31
云南生菜(份),5
枝江红菜苔(份),40
洪山菜苔,58
襄甜红菜苔(袋),54
紫苏(份),66
马兰头,21
竹叶菜(份),27
鱼腥草,66
春菜,66
红薯尖(份),34
蔡甸藜蒿(份),59
红橡叶,21
绿牛油,21
红珊瑚(粗叶),21
保康高山大白菜,3
苋菜(份),38
槐花,21
奶白菜(份),4
黄心菜(2),28
小青菜(份),10
小白菜(份),45
鲜粽叶(袋)(2),21
芝麻苋菜,68
鲜粽叶,21
鲜粽叶(袋)(1),29
艾蒿,21
鱼腥草(份),47
外地茼蒿(份),51
本地小毛白菜,56
黄白菜(1),49
龙牙菜,55
冰草(盒),21
洪山菜薹珍品手提袋,21
洪山菜薹莲藕拼装礼盒,21
白蒿,21
大白菜秧,64
鲜粽叶(袋)(3),46
木耳菜(份),21
