,0
西峡香菇(1),5
金针菇(1),12
杏鲍菇(1),9
海鲜菇(1),29
姬菇(1),29
金针菇(袋)(1),3
平菇,17
蟹味菇(2),0
白玉菇(2),34
海鲜菇(袋)(1),14
姬菇(包),24
杏鲍菇(袋),16
鲜木耳(1),0
白玉菇(袋),18
虫草花,0
双孢菇,30
西峡花菇(1),7
黑皮鸡枞菌,0
鸡枞菌,0
银耳(朵),35
绣球菌,0
虫草花(袋),2
猴头菇,0
秀珍菇,0
金针菇(袋)(3),10
蟹味菇(袋),28
牛排菇,0
海鲜菇(袋)(4),8
虫草花(盒)(2),0
活体银耳,0
白玉菇(1),0
杏鲍菇(250克),0
金针菇(袋)(2),6
蟹味菇(1),0
海鲜菇(包),13
黑牛肝菌(盒),0
赤松茸(盒),0
猪肚菇(盒),0
牛排菇(盒),0
黑皮鸡枞菌(盒),0
杏鲍菇(份),36
海鲜菇(袋)(3),11
蟹味菇(盒),0
白玉菇(盒),32
金针菇(盒),1
虫草花(份),22
姬菇(份),19
双孢菇(份),0
海鲜菇(份),15
姬菇(2),0
海鲜菇(2),0
鲜木耳(2),0
西峡香菇(2),27
西峡花菇(2),0
金针菇(2),25
杏鲍菇(2),23
绣球菌(袋),0
双孢菇(盒),4
鲜木耳(份),21
和丰阳光海鲜菇(包),33
金针菇(份),0
黑牛肝菌,0
西峡香菇(份) ,26
茶树菇(袋),0
海鲜菇(袋)(2),20
菌蔬四宝(份),0
菌菇火锅套餐(份),0
蟹味菇与白玉菇双拼(盒),31
花菇(一人份),0
鹿茸菇(盒),0
赤松茸,0
