,0
西峡香菇(1),2
金针菇(1),7
杏鲍菇(1),12
海鲜菇(1),33
姬菇(1),32
金针菇(袋)(1),5
平菇,20
蟹味菇(2),41
白玉菇(2),34
海鲜菇(袋)(1),19
姬菇(包),25
杏鲍菇(袋),13
鲜木耳(1),40
白玉菇(袋),17
虫草花,3
双孢菇,30
西峡花菇(1),8
黑皮鸡枞菌,3
鸡枞菌,3
银耳(朵),35
绣球菌,3
虫草花(袋),10
猴头菇,3
秀珍菇,3
金针菇(袋)(3),11
蟹味菇(袋),27
牛排菇,3
海鲜菇(袋)(4),9
虫草花(盒)(2),3
活体银耳,3
白玉菇(1),44
杏鲍菇(250克),3
金针菇(袋)(2),6
蟹味菇(1),39
海鲜菇(包),15
黑牛肝菌(盒),3
赤松茸(盒),3
猪肚菇(盒),3
牛排菇(盒),3
黑皮鸡枞菌(盒),3
杏鲍菇(份),37
海鲜菇(袋)(3),16
蟹味菇(盒),38
白玉菇(盒),29
金针菇(盒),1
虫草花(份),18
姬菇(份),24
双孢菇(份),3
海鲜菇(份),14
姬菇(2),3
海鲜菇(2),42
鲜木耳(2),42
西峡香菇(2),0
西峡花菇(2),3
金针菇(2),28
杏鲍菇(2),21
绣球菌(袋),3
双孢菇(盒),4
鲜木耳(份),23
和丰阳光海鲜菇(包),36
金针菇(份),3
黑牛肝菌,3
西峡香菇(份) ,26
茶树菇(袋),43
海鲜菇(袋)(2),22
菌蔬四宝(份),3
菌菇火锅套餐(份),3
蟹味菇与白玉菇双拼(盒),31
花菇(一人份),3
鹿茸菇(盒),3
赤松茸,3
