,0
西峡香菇(1),2
金针菇(1),6
杏鲍菇(1),20
海鲜菇(1),31
姬菇(1),37
金针菇(袋)(1),3
平菇,5
蟹味菇(2),36
白玉菇(2),30
海鲜菇(袋)(1),16
姬菇(包),11
杏鲍菇(袋),10
鲜木耳(1),42
白玉菇(袋),19
虫草花,50
双孢菇,29
西峡花菇(1),8
黑皮鸡枞菌,0
鸡枞菌,0
银耳(朵),34
绣球菌,0
虫草花(袋),21
猴头菇,0
秀珍菇,51
金针菇(袋)(3),12
蟹味菇(袋),27
牛排菇,0
海鲜菇(袋)(4),9
虫草花(盒)(2),0
活体银耳,0
白玉菇(1),44
杏鲍菇(250克),48
金针菇(袋)(2),7
蟹味菇(1),40
海鲜菇(包),14
黑牛肝菌(盒),0
赤松茸(盒),0
猪肚菇(盒),0
牛排菇(盒),45
黑皮鸡枞菌(盒),0
杏鲍菇(份),35
海鲜菇(袋)(3),13
蟹味菇(盒),39
白玉菇(盒),33
金针菇(盒),1
虫草花(份),23
姬菇(份),22
双孢菇(份),49
海鲜菇(份),18
姬菇(2),0
海鲜菇(2),46
鲜木耳(2),43
西峡香菇(2),25
西峡花菇(2),0
金针菇(2),28
杏鲍菇(2),15
绣球菌(袋),0
双孢菇(盒),4
鲜木耳(份),26
和丰阳光海鲜菇(包),38
金针菇(份),0
黑牛肝菌,0
西峡香菇(份) ,24
茶树菇(袋),41
海鲜菇(袋)(2),17
菌蔬四宝(份),47
菌菇火锅套餐(份),52
蟹味菇与白玉菇双拼(盒),32
花菇(一人份),0
鹿茸菇(盒),0
赤松茸,0
