,0
大白菜,1
上海青,11
菜心,15
云南生菜,9
甜白菜,17
云南油麦菜,3
苋菜,22
菠菜,16
红薯尖,21
竹叶菜,6
黄白菜(2),19
外地茼蒿,0
小白菜,0
木耳菜,0
娃娃菜,5
黄心菜(1),24
东门口小白菜,0
南瓜尖,0
牛首油菜,20
快菜,0
奶白菜,12
蔡甸藜蒿,0
紫苏,0
茼蒿,26
本地上海青,0
萝卜叶,0
枝江红菜苔,10
牛首生菜,0
荠菜,0
四川红香椿,0
豌豆尖,0
白菜苔,0
随州泡泡青,0
丝瓜尖,0
本地黄心油菜,28
紫贝菜,0
田七,0
油菜苔,0
青菜苔,0
马齿苋,0
甘蓝叶,0
面条菜,0
薄荷叶,0
鲜粽子叶,0
黑油菜,0
冰草,0
芥菜,0
菊花油菜,0
大芥兰,0
奶白菜苗,0
芥兰,0
蒲公英,0
黄花菜,0
小青菜(1),25
双沟白菜,0
菜心(份),23
茼蒿(份),0
小青菜(2),0
云南油麦菜(份),4
菠菜(份),14
上海青(份),18
云南生菜(份),8
枝江红菜苔(份),0
洪山菜苔,0
襄甜红菜苔(袋),0
紫苏(份),0
马兰头,0
竹叶菜(份),27
鱼腥草,0
春菜,0
红薯尖(份),27
蔡甸藜蒿(份),0
红橡叶,0
绿牛油,0
红珊瑚(粗叶),0
保康高山大白菜,2
苋菜(份),0
槐花,0
奶白菜(份),7
黄心菜(2),23
小青菜(份),13
小白菜(份),0
鲜粽叶(袋)(2),0
芝麻苋菜,0
鲜粽叶,0
鲜粽叶(袋)(1),29
艾蒿,0
鱼腥草(份),0
外地茼蒿(份),0
本地小毛白菜,0
黄白菜(1),0
龙牙菜,0
冰草(盒),0
洪山菜薹珍品手提袋,0
洪山菜薹莲藕拼装礼盒,0
白蒿,0
大白菜秧,0
鲜粽叶(袋)(3),0
木耳菜(份),0
