,0
西峡香菇(1),3
金针菇(1),8
杏鲍菇(1),14
海鲜菇(1),30
姬菇(1),30
金针菇(袋)(1),2
平菇,4
蟹味菇(2),0
白玉菇(2),30
海鲜菇(袋)(1),16
姬菇(包),23
杏鲍菇(袋),15
鲜木耳(1),0
白玉菇(袋),18
虫草花,0
双孢菇,29
西峡花菇(1),7
黑皮鸡枞菌,0
鸡枞菌,0
银耳(朵),0
绣球菌,0
虫草花(袋),9
猴头菇,0
秀珍菇,0
金针菇(袋)(3),11
蟹味菇(袋),26
牛排菇,0
海鲜菇(袋)(4),10
虫草花(盒)(2),0
活体银耳,0
白玉菇(1),0
杏鲍菇(250克),0
金针菇(袋)(2),6
蟹味菇(1),0
海鲜菇(包),13
黑牛肝菌(盒),0
赤松茸(盒),0
猪肚菇(盒),0
牛排菇(盒),0
黑皮鸡枞菌(盒),0
杏鲍菇(份),0
海鲜菇(袋)(3),12
蟹味菇(盒),0
白玉菇(盒),32
金针菇(盒),1
虫草花(份),17
姬菇(份),21
双孢菇(份),0
海鲜菇(份),19
姬菇(2),0
海鲜菇(2),0
鲜木耳(2),0
西峡香菇(2),27
西峡花菇(2),0
金针菇(2),28
杏鲍菇(2),24
绣球菌(袋),0
双孢菇(盒),5
鲜木耳(份),22
和丰阳光海鲜菇(包),0
金针菇(份),0
黑牛肝菌,0
西峡香菇(份) ,25
茶树菇(袋),0
海鲜菇(袋)(2),20
菌蔬四宝(份),0
菌菇火锅套餐(份),0
蟹味菇与白玉菇双拼(盒),31
花菇(一人份),0
鹿茸菇(盒),0
赤松茸,0
