,0
西峡香菇(1),5
金针菇(1),11
杏鲍菇(1),9
海鲜菇(1),41
姬菇(1),31
金针菇(袋)(1),3
平菇,4
蟹味菇(2),38
白玉菇(2),32
海鲜菇(袋)(1),0
姬菇(包),26
杏鲍菇(袋),12
鲜木耳(1),43
白玉菇(袋),14
虫草花,49
双孢菇,30
西峡花菇(1),8
黑皮鸡枞菌,39
鸡枞菌,39
银耳(朵),37
绣球菌,56
虫草花(袋),24
猴头菇,39
秀珍菇,51
金针菇(袋)(3),10
蟹味菇(袋),19
牛排菇,39
海鲜菇(袋)(4),16
虫草花(盒)(2),39
活体银耳,39
白玉菇(1),47
杏鲍菇(250克),52
金针菇(袋)(2),7
蟹味菇(1),42
海鲜菇(包),15
黑牛肝菌(盒),55
赤松茸(盒),55
猪肚菇(盒),55
牛排菇(盒),44
黑皮鸡枞菌(盒),39
杏鲍菇(份),36
海鲜菇(袋)(3),17
蟹味菇(盒),40
白玉菇(盒),35
金针菇(盒),2
虫草花(份),21
姬菇(份),25
双孢菇(份),48
海鲜菇(份),22
姬菇(2),53
海鲜菇(2),46
鲜木耳(2),50
西峡香菇(2),23
西峡花菇(2),13
金针菇(2),29
杏鲍菇(2),18
绣球菌(袋),39
双孢菇(盒),6
鲜木耳(份),28
和丰阳光海鲜菇(包),34
金针菇(份),39
黑牛肝菌,39
西峡香菇(份) ,27
茶树菇(袋),1
海鲜菇(袋)(2),20
菌蔬四宝(份),45
菌菇火锅套餐(份),54
蟹味菇与白玉菇双拼(盒),33
花菇(一人份),39
鹿茸菇(盒),39
赤松茸,39
