,0
大白菜,1
上海青,16
菜心,21
云南生菜,9
甜白菜,14
云南油麦菜,6
苋菜,19
菠菜,28
红薯尖,3
竹叶菜,18
黄白菜(2),13
外地茼蒿,44
小白菜,34
木耳菜,36
娃娃菜,4
黄心菜(1),24
东门口小白菜,38
南瓜尖,55
牛首油菜,22
快菜,54
奶白菜,17
蔡甸藜蒿,42
紫苏,55
茼蒿,7
本地上海青,33
萝卜叶,48
枝江红菜苔,15
牛首生菜,32
荠菜,55
四川红香椿,47
豌豆尖,58
白菜苔,35
随州泡泡青,41
丝瓜尖,55
本地黄心油菜,29
紫贝菜,55
田七,55
油菜苔,0
青菜苔,59
马齿苋,0
甘蓝叶,55
面条菜,55
薄荷叶,55
鲜粽子叶,55
黑油菜,49
冰草,55
芥菜,61
菊花油菜,55
大芥兰,55
奶白菜苗,55
芥兰,55
蒲公英,55
黄花菜,55
小青菜(1),25
双沟白菜,55
菜心(份),26
茼蒿(份),39
小青菜(2),46
云南油麦菜(份),2
菠菜(份),11
上海青(份),20
云南生菜(份),10
枝江红菜苔(份),50
洪山菜苔,55
襄甜红菜苔(袋),52
紫苏(份),55
马兰头,55
竹叶菜(份),30
鱼腥草,55
春菜,55
红薯尖(份),37
蔡甸藜蒿(份),60
红橡叶,55
绿牛油,55
红珊瑚(粗叶),55
保康高山大白菜,5
苋菜(份),40
槐花,55
奶白菜(份),8
黄心菜(2),31
小青菜(份),12
小白菜(份),23
鲜粽叶(袋)(2),55
芝麻苋菜,55
鲜粽叶,55
鲜粽叶(袋)(1),27
艾蒿,55
鱼腥草(份),43
外地茼蒿(份),53
本地小毛白菜,57
黄白菜(1),56
龙牙菜,51
冰草(盒),55
洪山菜薹珍品手提袋,55
洪山菜薹莲藕拼装礼盒,55
白蒿,55
大白菜秧,55
鲜粽叶(袋)(3),45
木耳菜(份),55
