,0
大白菜,2
上海青,9
菜心,0
云南生菜,7
甜白菜,20
云南油麦菜,14
苋菜,17
菠菜,16
红薯尖,21
竹叶菜,12
黄白菜(2),19
外地茼蒿,46
小白菜,33
木耳菜,34
娃娃菜,6
黄心菜(1),22
东门口小白菜,38
南瓜尖,61
牛首油菜,15
快菜,55
奶白菜,28
蔡甸藜蒿,42
紫苏,29
茼蒿,23
本地上海青,40
萝卜叶,49
枝江红菜苔,11
牛首生菜,35
荠菜,29
四川红香椿,47
豌豆尖,54
白菜苔,31
随州泡泡青,41
丝瓜尖,29
本地黄心油菜,30
紫贝菜,29
田七,29
油菜苔,63
青菜苔,60
马齿苋,62
甘蓝叶,29
面条菜,29
薄荷叶,29
鲜粽子叶,29
黑油菜,50
冰草,75
芥菜,59
菊花油菜,68
大芥兰,68
奶白菜苗,66
芥兰,29
蒲公英,29
黄花菜,29
小青菜(1),24
双沟白菜,29
菜心(份),26
茼蒿(份),43
小青菜(2),51
云南油麦菜(份),10
菠菜(份),13
上海青(份),4
云南生菜(份),3
枝江红菜苔(份),39
洪山菜苔,64
襄甜红菜苔(袋),53
紫苏(份),69
马兰头,29
竹叶菜(份),36
鱼腥草,70
春菜,73
红薯尖(份),25
蔡甸藜蒿(份),57
红橡叶,29
绿牛油,29
红珊瑚(粗叶),29
保康高山大白菜,8
苋菜(份),44
槐花,29
奶白菜(份),5
黄心菜(2),32
小青菜(份),18
小白菜(份),37
鲜粽叶(袋)(2),29
芝麻苋菜,67
鲜粽叶,29
鲜粽叶(袋)(1),27
艾蒿,74
鱼腥草(份),45
外地茼蒿(份),52
本地小毛白菜,56
黄白菜(1),1
龙牙菜,58
冰草(盒),71
洪山菜薹珍品手提袋,29
洪山菜薹莲藕拼装礼盒,29
白蒿,29
大白菜秧,65
鲜粽叶(袋)(3),48
木耳菜(份),72
