,0
大白菜,1
上海青,5
菜心,23
云南生菜,7
甜白菜,15
云南油麦菜,17
苋菜,21
菠菜,26
红薯尖,14
竹叶菜,16
黄白菜(2),20
外地茼蒿,43
小白菜,33
木耳菜,0
娃娃菜,3
黄心菜(1),24
东门口小白菜,37
南瓜尖,60
牛首油菜,19
快菜,53
奶白菜,22
蔡甸藜蒿,41
紫苏,4
茼蒿,11
本地上海青,38
萝卜叶,48
枝江红菜苔,13
牛首生菜,34
荠菜,4
四川红香椿,46
豌豆尖,57
白菜苔,31
随州泡泡青,40
丝瓜尖,4
本地黄心油菜,27
紫贝菜,4
田七,4
油菜苔,64
青菜苔,62
马齿苋,61
甘蓝叶,4
面条菜,4
薄荷叶,4
鲜粽子叶,4
黑油菜,49
冰草,74
芥菜,58
菊花油菜,69
大芥兰,69
奶白菜苗,67
芥兰,4
蒲公英,4
黄花菜,4
小青菜(1),28
双沟白菜,4
菜心(份),12
茼蒿(份),45
小青菜(2),52
云南油麦菜(份),2
菠菜(份),8
上海青(份),30
云南生菜(份),10
枝江红菜苔(份),39
洪山菜苔,63
襄甜红菜苔(袋),54
紫苏(份),68
马兰头,4
竹叶菜(份),35
鱼腥草,71
春菜,71
红薯尖(份),25
蔡甸藜蒿(份),56
红橡叶,4
绿牛油,4
红珊瑚(粗叶),4
保康高山大白菜,6
苋菜(份),36
槐花,4
奶白菜(份),9
黄心菜(2),32
小青菜(份),18
小白菜(份),44
鲜粽叶(袋)(2),4
芝麻苋菜,66
鲜粽叶,4
鲜粽叶(袋)(1),29
艾蒿,73
鱼腥草(份),42
外地茼蒿(份),51
本地小毛白菜,55
黄白菜(1),50
龙牙菜,59
冰草(盒),70
洪山菜薹珍品手提袋,4
洪山菜薹莲藕拼装礼盒,4
白蒿,4
大白菜秧,65
鲜粽叶(袋)(3),47
木耳菜(份),72
