,0
大白菜,1
上海青,20
菜心,6
云南生菜,10
甜白菜,16
云南油麦菜,3
苋菜,14
菠菜,12
红薯尖,17
竹叶菜,21
黄白菜(2),15
外地茼蒿,49
小白菜,32
木耳菜,34
娃娃菜,5
黄心菜(1),23
东门口小白菜,33
南瓜尖,65
牛首油菜,19
快菜,53
奶白菜,22
蔡甸藜蒿,44
紫苏,42
茼蒿,25
本地上海青,37
萝卜叶,50
枝江红菜苔,13
牛首生菜,30
荠菜,77
四川红香椿,40
豌豆尖,62
白菜苔,35
随州泡泡青,39
丝瓜尖,82
本地黄心油菜,28
紫贝菜,80
田七,81
油菜苔,64
青菜苔,61
马齿苋,59
甘蓝叶,91
面条菜,85
薄荷叶,90
鲜粽子叶,87
黑油菜,48
冰草,78
芥菜,63
菊花油菜,83
大芥兰,70
奶白菜苗,66
芥兰,91
蒲公英,92
黄花菜,91
小青菜(1),27
双沟白菜,60
菜心(份),31
茼蒿(份),46
小青菜(2),43
云南油麦菜(份),8
菠菜(份),2
上海青(份),18
云南生菜(份),4
枝江红菜苔(份),51
洪山菜苔,0
襄甜红菜苔(袋),55
紫苏(份),72
马兰头,91
竹叶菜(份),24
鱼腥草,73
春菜,76
红薯尖(份),36
蔡甸藜蒿(份),57
红橡叶,67
绿牛油,67
红珊瑚(粗叶),67
保康高山大白菜,9
苋菜(份),45
槐花,88
奶白菜(份),11
黄心菜(2),26
小青菜(份),7
小白菜(份),38
鲜粽叶(袋)(2),79
芝麻苋菜,68
鲜粽叶,89
鲜粽叶(袋)(1),29
艾蒿,74
鱼腥草(份),41
外地茼蒿(份),54
本地小毛白菜,58
黄白菜(1),56
龙牙菜,52
冰草(盒),71
洪山菜薹珍品手提袋,84
洪山菜薹莲藕拼装礼盒,86
白蒿,91
大白菜秧,69
鲜粽叶(袋)(3),47
木耳菜(份),75
