,0
西峡香菇(1),4
金针菇(1),0
杏鲍菇(1),19
海鲜菇(1),37
姬菇(1),32
金针菇(袋)(1),3
平菇,20
蟹味菇(2),38
白玉菇(2),28
海鲜菇(袋)(1),18
姬菇(包),10
杏鲍菇(袋),12
鲜木耳(1),42
白玉菇(袋),6
虫草花,46
双孢菇,29
西峡花菇(1),8
黑皮鸡枞菌,1
鸡枞菌,1
银耳(朵),35
绣球菌,1
虫草花(袋),11
猴头菇,1
秀珍菇,1
金针菇(袋)(3),9
蟹味菇(袋),30
牛排菇,1
海鲜菇(袋)(4),17
虫草花(盒)(2),1
活体银耳,1
白玉菇(1),43
杏鲍菇(250克),1
金针菇(袋)(2),7
蟹味菇(1),40
海鲜菇(包),13
黑牛肝菌(盒),1
赤松茸(盒),1
猪肚菇(盒),1
牛排菇(盒),45
黑皮鸡枞菌(盒),1
杏鲍菇(份),36
海鲜菇(袋)(3),15
蟹味菇(盒),39
白玉菇(盒),33
金针菇(盒),2
虫草花(份),23
姬菇(份),22
双孢菇(份),48
海鲜菇(份),14
姬菇(2),1
海鲜菇(2),44
鲜木耳(2),1
西峡香菇(2),24
西峡花菇(2),1
金针菇(2),25
杏鲍菇(2),21
绣球菌(袋),1
双孢菇(盒),5
鲜木耳(份),27
和丰阳光海鲜菇(包),34
金针菇(份),1
黑牛肝菌,1
西峡香菇(份) ,26
茶树菇(袋),41
海鲜菇(袋)(2),16
菌蔬四宝(份),47
菌菇火锅套餐(份),1
蟹味菇与白玉菇双拼(盒),31
花菇(一人份),1
鹿茸菇(盒),1
赤松茸,1
