,0
大白菜,2
上海青,5
菜心,22
云南生菜,1
甜白菜,14
云南油麦菜,13
苋菜,8
菠菜,26
红薯尖,29
竹叶菜,16
黄白菜(2),20
外地茼蒿,45
小白菜,37
木耳菜,34
娃娃菜,4
黄心菜(1),21
东门口小白菜,38
南瓜尖,18
牛首油菜,12
快菜,18
奶白菜,24
蔡甸藜蒿,40
紫苏,18
茼蒿,15
本地上海青,35
萝卜叶,48
枝江红菜苔,9
牛首生菜,32
荠菜,18
四川红香椿,49
豌豆尖,18
白菜苔,36
随州泡泡青,42
丝瓜尖,18
本地黄心油菜,31
紫贝菜,18
田七,18
油菜苔,18
青菜苔,18
马齿苋,18
甘蓝叶,18
面条菜,18
薄荷叶,18
鲜粽子叶,18
黑油菜,0
冰草,18
芥菜,18
菊花油菜,18
大芥兰,18
奶白菜苗,18
芥兰,18
蒲公英,18
黄花菜,18
小青菜(1),28
双沟白菜,18
菜心(份),30
茼蒿(份),43
小青菜(2),41
云南油麦菜(份),11
菠菜(份),17
上海青(份),25
云南生菜(份),7
枝江红菜苔(份),41
洪山菜苔,18
襄甜红菜苔(袋),18
紫苏(份),18
马兰头,18
竹叶菜(份),33
鱼腥草,18
春菜,18
红薯尖(份),23
蔡甸藜蒿(份),18
红橡叶,18
绿牛油,18
红珊瑚(粗叶),18
保康高山大白菜,6
苋菜(份),46
槐花,18
奶白菜(份),3
黄心菜(2),10
小青菜(份),19
小白菜(份),39
鲜粽叶(袋)(2),18
芝麻苋菜,18
鲜粽叶,18
鲜粽叶(袋)(1),27
艾蒿,18
鱼腥草(份),44
外地茼蒿(份),18
本地小毛白菜,0
黄白菜(1),0
龙牙菜,0
冰草(盒),18
洪山菜薹珍品手提袋,18
洪山菜薹莲藕拼装礼盒,18
白蒿,18
大白菜秧,18
鲜粽叶(袋)(3),47
木耳菜(份),18
