,0
大白菜,2
上海青,11
菜心,16
云南生菜,7
甜白菜,18
云南油麦菜,5
苋菜,22
菠菜,24
红薯尖,21
竹叶菜,12
黄白菜(2),17
外地茼蒿,41
小白菜,36
木耳菜,35
娃娃菜,8
黄心菜(1),23
东门口小白菜,37
南瓜尖,67
牛首油菜,19
快菜,54
奶白菜,0
蔡甸藜蒿,42
紫苏,82
茼蒿,14
本地上海青,38
萝卜叶,47
枝江红菜苔,15
牛首生菜,32
荠菜,77
四川红香椿,50
豌豆尖,57
白菜苔,33
随州泡泡青,34
丝瓜尖,80
本地黄心油菜,27
紫贝菜,81
田七,1
油菜苔,65
青菜苔,61
马齿苋,63
甘蓝叶,62
面条菜,85
薄荷叶,62
鲜粽子叶,87
黑油菜,49
冰草,76
芥菜,60
菊花油菜,84
大芥兰,75
奶白菜苗,70
芥兰,62
蒲公英,62
黄花菜,62
小青菜(1),29
双沟白菜,53
菜心(份),20
茼蒿(份),44
小青菜(2),40
云南油麦菜(份),4
菠菜(份),13
上海青(份),31
云南生菜(份),3
枝江红菜苔(份),52
洪山菜苔,64
襄甜红菜苔(袋),56
紫苏(份),71
马兰头,62
竹叶菜(份),30
鱼腥草,68
春菜,73
红薯尖(份),25
蔡甸藜蒿(份),58
红橡叶,62
绿牛油,62
红珊瑚(粗叶),62
保康高山大白菜,6
苋菜(份),43
槐花,86
奶白菜(份),9
黄心菜(2),28
小青菜(份),10
小白菜(份),39
鲜粽叶(袋)(2),79
芝麻苋菜,66
鲜粽叶,62
鲜粽叶(袋)(1),26
艾蒿,72
鱼腥草(份),45
外地茼蒿(份),51
本地小毛白菜,59
黄白菜(1),48
龙牙菜,55
冰草(盒),74
洪山菜薹珍品手提袋,83
洪山菜薹莲藕拼装礼盒,62
白蒿,62
大白菜秧,69
鲜粽叶(袋)(3),46
木耳菜(份),78
