,0
大白菜,2
上海青,6
菜心,19
云南生菜,10
甜白菜,15
云南油麦菜,3
苋菜,23
菠菜,25
红薯尖,22
竹叶菜,7
黄白菜(2),16
外地茼蒿,45
小白菜,33
木耳菜,35
娃娃菜,4
黄心菜(1),24
东门口小白菜,34
南瓜尖,0
牛首油菜,14
快菜,54
奶白菜,18
蔡甸藜蒿,40
紫苏,0
茼蒿,17
本地上海青,37
萝卜叶,46
枝江红菜苔,11
牛首生菜,31
荠菜,0
四川红香椿,49
豌豆尖,58
白菜苔,32
随州泡泡青,36
丝瓜尖,0
本地黄心油菜,30
紫贝菜,0
田七,0
油菜苔,0
青菜苔,59
马齿苋,61
甘蓝叶,0
面条菜,0
薄荷叶,0
鲜粽子叶,0
黑油菜,47
冰草,0
芥菜,60
菊花油菜,0
大芥兰,0
奶白菜苗,0
芥兰,0
蒲公英,0
黄花菜,0
小青菜(1),27
双沟白菜,0
菜心(份),26
茼蒿(份),41
小青菜(2),48
云南油麦菜(份),1
菠菜(份),13
上海青(份),12
云南生菜(份),9
枝江红菜苔(份),42
洪山菜苔,62
襄甜红菜苔(袋),55
紫苏(份),0
马兰头,0
竹叶菜(份),21
鱼腥草,0
春菜,0
红薯尖(份),39
蔡甸藜蒿(份),56
红橡叶,0
绿牛油,0
红珊瑚(粗叶),0
保康高山大白菜,5
苋菜(份),38
槐花,0
奶白菜(份),8
黄心菜(2),29
小青菜(份),20
小白菜(份),43
鲜粽叶(袋)(2),0
芝麻苋菜,0
鲜粽叶,0
鲜粽叶(袋)(1),28
艾蒿,0
鱼腥草(份),44
外地茼蒿(份),52
本地小毛白菜,53
黄白菜(1),57
龙牙菜,51
冰草(盒),0
洪山菜薹珍品手提袋,0
洪山菜薹莲藕拼装礼盒,0
白蒿,0
大白菜秧,0
鲜粽叶(袋)(3),50
木耳菜(份),0
