,0
西峡香菇(1),2
金针菇(1),7
杏鲍菇(1),13
海鲜菇(1),31
姬菇(1),39
金针菇(袋)(1),3
平菇,4
蟹味菇(2),36
白玉菇(2),33
海鲜菇(袋)(1),16
姬菇(包),25
杏鲍菇(袋),12
鲜木耳(1),41
白玉菇(袋),15
虫草花,51
双孢菇,29
西峡花菇(1),8
黑皮鸡枞菌,59
鸡枞菌,38
银耳(朵),35
绣球菌,58
虫草花(袋),10
猴头菇,61
秀珍菇,46
金针菇(袋)(3),9
蟹味菇(袋),27
牛排菇,60
海鲜菇(袋)(4),17
虫草花(盒)(2),38
活体银耳,38
白玉菇(1),47
杏鲍菇(250克),52
金针菇(袋)(2),6
蟹味菇(1),42
海鲜菇(包),14
黑牛肝菌(盒),55
赤松茸(盒),64
猪肚菇(盒),56
牛排菇(盒),44
黑皮鸡枞菌(盒),57
杏鲍菇(份),37
海鲜菇(袋)(3),11
蟹味菇(盒),40
白玉菇(盒),30
金针菇(盒),1
虫草花(份),20
姬菇(份),22
双孢菇(份),49
海鲜菇(份),18
姬菇(2),54
海鲜菇(2),45
鲜木耳(2),50
西峡香菇(2),24
西峡花菇(2),53
金针菇(2),28
杏鲍菇(2),21
绣球菌(袋),38
双孢菇(盒),5
鲜木耳(份),26
和丰阳光海鲜菇(包),34
金针菇(份),38
黑牛肝菌,38
西峡香菇(份) ,23
茶树菇(袋),43
海鲜菇(袋)(2),19
菌蔬四宝(份),48
菌菇火锅套餐(份),0
蟹味菇与白玉菇双拼(盒),32
花菇(一人份),63
鹿茸菇(盒),62
赤松茸,65
