,0
西峡香菇(1),3
金针菇(1),0
杏鲍菇(1),17
海鲜菇(1),30
姬菇(1),30
金针菇(袋)(1),4
平菇,6
蟹味菇(2),1
白玉菇(2),30
海鲜菇(袋)(1),14
姬菇(包),22
杏鲍菇(袋),11
鲜木耳(1),1
白玉菇(袋),10
虫草花,1
双孢菇,29
西峡花菇(1),9
黑皮鸡枞菌,1
鸡枞菌,1
银耳(朵),1
绣球菌,1
虫草花(袋),19
猴头菇,1
秀珍菇,1
金针菇(袋)(3),8
蟹味菇(袋),28
牛排菇,1
海鲜菇(袋)(4),13
虫草花(盒)(2),1
活体银耳,1
白玉菇(1),1
杏鲍菇(250克),1
金针菇(袋)(2),5
蟹味菇(1),1
海鲜菇(包),15
黑牛肝菌(盒),1
赤松茸(盒),1
猪肚菇(盒),1
牛排菇(盒),1
黑皮鸡枞菌(盒),1
杏鲍菇(份),1
海鲜菇(袋)(3),12
蟹味菇(盒),1
白玉菇(盒),1
金针菇(盒),2
虫草花(份),24
姬菇(份),21
双孢菇(份),1
海鲜菇(份),16
姬菇(2),1
海鲜菇(2),1
鲜木耳(2),1
西峡香菇(2),27
西峡花菇(2),1
金针菇(2),26
杏鲍菇(2),20
绣球菌(袋),1
双孢菇(盒),7
鲜木耳(份),25
和丰阳光海鲜菇(包),1
金针菇(份),1
黑牛肝菌,1
西峡香菇(份) ,23
茶树菇(袋),1
海鲜菇(袋)(2),18
菌蔬四宝(份),1
菌菇火锅套餐(份),1
蟹味菇与白玉菇双拼(盒),31
花菇(一人份),1
鹿茸菇(盒),1
赤松茸,1
