,0
大白菜,1
上海青,19
菜心,7
云南生菜,4
甜白菜,17
云南油麦菜,10
苋菜,16
菠菜,14
红薯尖,15
竹叶菜,22
黄白菜(2),6
外地茼蒿,44
小白菜,32
木耳菜,30
娃娃菜,3
黄心菜(1),23
东门口小白菜,35
南瓜尖,67
牛首油菜,18
快菜,55
奶白菜,24
蔡甸藜蒿,40
紫苏,79
茼蒿,20
本地上海青,39
萝卜叶,48
枝江红菜苔,11
牛首生菜,33
荠菜,77
四川红香椿,46
豌豆尖,58
白菜苔,34
随州泡泡青,38
丝瓜尖,82
本地黄心油菜,29
紫贝菜,81
田七,78
油菜苔,68
青菜苔,59
马齿苋,66
甘蓝叶,64
面条菜,0
薄荷叶,64
鲜粽子叶,86
黑油菜,47
冰草,76
芥菜,60
菊花油菜,83
大芥兰,70
奶白菜苗,69
芥兰,64
蒲公英,64
黄花菜,64
小青菜(1),27
双沟白菜,88
菜心(份),31
茼蒿(份),43
小青菜(2),50
云南油麦菜(份),13
菠菜(份),8
上海青(份),12
云南生菜(份),9
枝江红菜苔(份),41
洪山菜苔,61
襄甜红菜苔(袋),54
紫苏(份),65
马兰头,64
竹叶菜(份),25
鱼腥草,71
春菜,72
红薯尖(份),36
蔡甸藜蒿(份),57
红橡叶,64
绿牛油,64
红珊瑚(粗叶),64
保康高山大白菜,5
苋菜(份),37
槐花,85
奶白菜(份),2
黄心菜(2),26
小青菜(份),21
小白菜(份),42
鲜粽叶(袋)(2),80
芝麻苋菜,63
鲜粽叶,89
鲜粽叶(袋)(1),28
艾蒿,74
鱼腥草(份),45
外地茼蒿(份),53
本地小毛白菜,52
黄白菜(1),56
龙牙菜,51
冰草(盒),73
洪山菜薹珍品手提袋,84
洪山菜薹莲藕拼装礼盒,87
白蒿,64
大白菜秧,62
鲜粽叶(袋)(3),49
木耳菜(份),75
