,0
大白菜,1
上海青,15
菜心,21
云南生菜,6
甜白菜,7
云南油麦菜,16
苋菜,25
菠菜,17
红薯尖,3
竹叶菜,20
黄白菜(2),8
外地茼蒿,48
小白菜,36
木耳菜,35
娃娃菜,4
黄心菜(1),26
东门口小白菜,37
南瓜尖,66
牛首油菜,19
快菜,47
奶白菜,18
蔡甸藜蒿,43
紫苏,81
茼蒿,27
本地上海青,38
萝卜叶,49
枝江红菜苔,13
牛首生菜,33
荠菜,78
四川红香椿,52
豌豆尖,55
白菜苔,34
随州泡泡青,40
丝瓜尖,82
本地黄心油菜,31
紫贝菜,83
田七,77
油菜苔,65
青菜苔,61
马齿苋,63
甘蓝叶,80
面条菜,87
薄荷叶,91
鲜粽子叶,88
黑油菜,50
冰草,76
芥菜,60
菊花油菜,70
大芥兰,84
奶白菜苗,69
芥兰,80
蒲公英,62
黄花菜,80
小青菜(1),28
双沟白菜,85
菜心(份),32
茼蒿(份),46
小青菜(2),57
云南油麦菜(份),2
菠菜(份),11
上海青(份),5
云南生菜(份),10
枝江红菜苔(份),42
洪山菜苔,64
襄甜红菜苔(袋),56
紫苏(份),75
马兰头,80
竹叶菜(份),24
鱼腥草,71
春菜,73
红薯尖(份),39
蔡甸藜蒿(份),59
红橡叶,80
绿牛油,80
红珊瑚(粗叶),80
保康高山大白菜,9
苋菜(份),41
槐花,86
奶白菜(份),14
黄心菜(2),30
小青菜(份),22
小白菜(份),44
鲜粽叶(袋)(2),79
芝麻苋菜,68
鲜粽叶,89
鲜粽叶(袋)(1),29
艾蒿,23
鱼腥草(份),45
外地茼蒿(份),51
本地小毛白菜,54
黄白菜(1),58
龙牙菜,12
冰草(盒),72
洪山菜薹珍品手提袋,53
洪山菜薹莲藕拼装礼盒,90
白蒿,80
大白菜秧,67
鲜粽叶(袋)(3),0
木耳菜(份),74
