,0
西峡香菇(1),2
金针菇(1),7
杏鲍菇(1),10
海鲜菇(1),38
姬菇(1),33
金针菇(袋)(1),3
平菇,21
蟹味菇(2),40
白玉菇(2),32
海鲜菇(袋)(1),16
姬菇(包),23
杏鲍菇(袋),13
鲜木耳(1),43
白玉菇(袋),14
虫草花,46
双孢菇,29
西峡花菇(1),11
黑皮鸡枞菌,30
鸡枞菌,30
银耳(朵),34
绣球菌,56
虫草花(袋),4
猴头菇,30
秀珍菇,53
金针菇(袋)(3),8
蟹味菇(袋),27
牛排菇,57
海鲜菇(袋)(4),17
虫草花(盒)(2),30
活体银耳,30
白玉菇(1),45
杏鲍菇(250克),51
金针菇(袋)(2),6
蟹味菇(1),41
海鲜菇(包),12
黑牛肝菌(盒),54
赤松茸(盒),54
猪肚菇(盒),54
牛排菇(盒),0
黑皮鸡枞菌(盒),30
杏鲍菇(份),37
海鲜菇(袋)(3),9
蟹味菇(盒),39
白玉菇(盒),35
金针菇(盒),1
虫草花(份),22
姬菇(份),20
双孢菇(份),48
海鲜菇(份),19
姬菇(2),55
海鲜菇(2),44
鲜木耳(2),49
西峡香菇(2),25
西峡花菇(2),52
金针菇(2),28
杏鲍菇(2),15
绣球菌(袋),30
双孢菇(盒),5
鲜木耳(份),26
和丰阳光海鲜菇(包),36
金针菇(份),30
黑牛肝菌,30
西峡香菇(份) ,24
茶树菇(袋),42
海鲜菇(袋)(2),18
菌蔬四宝(份),47
菌菇火锅套餐(份),50
蟹味菇与白玉菇双拼(盒),31
花菇(一人份),30
鹿茸菇(盒),30
赤松茸,30
