,0
西峡香菇(1),3
金针菇(1),7
杏鲍菇(1),17
海鲜菇(1),28
姬菇(1),38
金针菇(袋)(1),4
平菇,13
蟹味菇(2),36
白玉菇(2),32
海鲜菇(袋)(1),16
姬菇(包),23
杏鲍菇(袋),12
鲜木耳(1),41
白玉菇(袋),14
虫草花,48
双孢菇,30
西峡花菇(1),9
黑皮鸡枞菌,45
鸡枞菌,45
银耳(朵),33
绣球菌,56
虫草花(袋),25
猴头菇,45
秀珍菇,52
金针菇(袋)(3),11
蟹味菇(袋),1
牛排菇,59
海鲜菇(袋)(4),0
虫草花(盒)(2),45
活体银耳,45
白玉菇(1),44
杏鲍菇(250克),51
金针菇(袋)(2),6
蟹味菇(1),40
海鲜菇(包),15
黑牛肝菌(盒),5
赤松茸(盒),5
猪肚菇(盒),58
牛排菇(盒),46
黑皮鸡枞菌(盒),57
杏鲍菇(份),35
海鲜菇(袋)(3),10
蟹味菇(盒),39
白玉菇(盒),34
金针菇(盒),2
虫草花(份),19
姬菇(份),27
双孢菇(份),49
海鲜菇(份),18
姬菇(2),55
海鲜菇(2),43
鲜木耳(2),50
西峡香菇(2),21
西峡花菇(2),54
金针菇(2),24
杏鲍菇(2),22
绣球菌(袋),45
双孢菇(盒),8
鲜木耳(份),29
和丰阳光海鲜菇(包),37
金针菇(份),45
黑牛肝菌,45
西峡香菇(份) ,26
茶树菇(袋),42
海鲜菇(袋)(2),20
菌蔬四宝(份),47
菌菇火锅套餐(份),53
蟹味菇与白玉菇双拼(盒),31
花菇(一人份),45
鹿茸菇(盒),45
赤松茸,45
