,0
大白菜,3
上海青,13
菜心,20
云南生菜,11
甜白菜,16
云南油麦菜,1
苋菜,18
菠菜,14
红薯尖,6
竹叶菜,22
黄白菜(2),15
外地茼蒿,46
小白菜,33
木耳菜,31
娃娃菜,4
黄心菜(1),21
东门口小白菜,34
南瓜尖,65
牛首油菜,17
快菜,53
奶白菜,23
蔡甸藜蒿,40
紫苏,80
茼蒿,24
本地上海青,37
萝卜叶,47
枝江红菜苔,12
牛首生菜,32
荠菜,79
四川红香椿,48
豌豆尖,58
白菜苔,35
随州泡泡青,38
丝瓜尖,81
本地黄心油菜,30
紫贝菜,76
田七,78
油菜苔,66
青菜苔,63
马齿苋,61
甘蓝叶,54
面条菜,85
薄荷叶,90
鲜粽子叶,86
黑油菜,51
冰草,77
芥菜,60
菊花油菜,83
大芥兰,67
奶白菜苗,69
芥兰,54
蒲公英,92
黄花菜,54
小青菜(1),28
双沟白菜,87
菜心(份),25
茼蒿(份),43
小青菜(2),52
云南油麦菜(份),2
菠菜(份),8
上海青(份),19
云南生菜(份),7
枝江红菜苔(份),41
洪山菜苔,62
襄甜红菜苔(袋),56
紫苏(份),70
马兰头,93
竹叶菜(份),27
鱼腥草,71
春菜,73
红薯尖(份),39
蔡甸藜蒿(份),59
红橡叶,91
绿牛油,91
红珊瑚(粗叶),91
保康高山大白菜,9
苋菜(份),36
槐花,84
奶白菜(份),10
黄心菜(2),26
小青菜(份),5
小白菜(份),42
鲜粽叶(袋)(2),0
芝麻苋菜,68
鲜粽叶,88
鲜粽叶(袋)(1),29
艾蒿,74
鱼腥草(份),44
外地茼蒿(份),50
本地小毛白菜,55
黄白菜(1),57
龙牙菜,49
冰草(盒),72
洪山菜薹珍品手提袋,82
洪山菜薹莲藕拼装礼盒,89
白蒿,54
大白菜秧,64
鲜粽叶(袋)(3),45
木耳菜(份),75
