,0
西峡香菇(1),3
金针菇(1),9
杏鲍菇(1),13
海鲜菇(1),34
姬菇(1),39
金针菇(袋)(1),4
平菇,19
蟹味菇(2),42
白玉菇(2),32
海鲜菇(袋)(1),17
姬菇(包),23
杏鲍菇(袋),12
鲜木耳(1),43
白玉菇(袋),15
虫草花,50
双孢菇,30
西峡花菇(1),10
黑皮鸡枞菌,61
鸡枞菌,44
银耳(朵),36
绣球菌,57
虫草花(袋),7
猴头菇,44
秀珍菇,54
金针菇(袋)(3),11
蟹味菇(袋),26
牛排菇,58
海鲜菇(袋)(4),8
虫草花(盒)(2),44
活体银耳,44
白玉菇(1),45
杏鲍菇(250克),51
金针菇(袋)(2),5
蟹味菇(1),40
海鲜菇(包),14
黑牛肝菌(盒),28
赤松茸(盒),28
猪肚菇(盒),56
牛排菇(盒),46
黑皮鸡枞菌(盒),59
杏鲍菇(份),35
海鲜菇(袋)(3),0
蟹味菇(盒),38
白玉菇(盒),33
金针菇(盒),2
虫草花(份),24
姬菇(份),22
双孢菇(份),47
海鲜菇(份),16
姬菇(2),55
海鲜菇(2),1
鲜木耳(2),49
西峡香菇(2),21
西峡花菇(2),52
金针菇(2),29
杏鲍菇(2),20
绣球菌(袋),44
双孢菇(盒),6
鲜木耳(份),27
和丰阳光海鲜菇(包),37
金针菇(份),44
黑牛肝菌,44
西峡香菇(份) ,25
茶树菇(袋),41
海鲜菇(袋)(2),18
菌蔬四宝(份),48
菌菇火锅套餐(份),53
蟹味菇与白玉菇双拼(盒),31
花菇(一人份),44
鹿茸菇(盒),60
赤松茸,44
