,0
大白菜,2
上海青,0
菜心,20
云南生菜,12
甜白菜,14
云南油麦菜,9
苋菜,10
菠菜,27
红薯尖,22
竹叶菜,18
黄白菜(2),16
外地茼蒿,45
小白菜,30
木耳菜,37
娃娃菜,6
黄心菜(1),19
东门口小白菜,35
南瓜尖,67
牛首油菜,13
快菜,50
奶白菜,23
蔡甸藜蒿,40
紫苏,83
茼蒿,17
本地上海青,36
萝卜叶,46
枝江红菜苔,11
牛首生菜,33
荠菜,76
四川红香椿,49
豌豆尖,58
白菜苔,32
随州泡泡青,41
丝瓜尖,81
本地黄心油菜,31
紫贝菜,78
田七,75
油菜苔,65
青菜苔,60
马齿苋,61
甘蓝叶,51
面条菜,82
薄荷叶,51
鲜粽子叶,51
黑油菜,55
冰草,77
芥菜,63
菊花油菜,84
大芥兰,70
奶白菜苗,69
芥兰,51
蒲公英,51
黄花菜,51
小青菜(1),28
双沟白菜,51
菜心(份),29
茼蒿(份),43
小青菜(2),53
云南油麦菜(份),4
菠菜(份),15
上海青(份),7
云南生菜(份),5
枝江红菜苔(份),38
洪山菜苔,64
襄甜红菜苔(袋),56
紫苏(份),68
马兰头,51
竹叶菜(份),25
鱼腥草,71
春菜,72
红薯尖(份),34
蔡甸藜蒿(份),59
红橡叶,51
绿牛油,51
红珊瑚(粗叶),51
保康高山大白菜,3
苋菜(份),42
槐花,85
奶白菜(份),8
黄心菜(2),24
小青菜(份),21
小白菜(份),39
鲜粽叶(袋)(2),79
芝麻苋菜,62
鲜粽叶,51
鲜粽叶(袋)(1),26
艾蒿,74
鱼腥草(份),44
外地茼蒿(份),54
本地小毛白菜,57
黄白菜(1),52
龙牙菜,48
冰草(盒),73
洪山菜薹珍品手提袋,80
洪山菜薹莲藕拼装礼盒,51
白蒿,51
大白菜秧,66
鲜粽叶(袋)(3),47
木耳菜(份),1
