,0
西峡香菇(1),3
金针菇(1),8
杏鲍菇(1),9
海鲜菇(1),30
姬菇(1),37
金针菇(袋)(1),5
平菇,19
蟹味菇(2),39
白玉菇(2),32
海鲜菇(袋)(1),17
姬菇(包),23
杏鲍菇(袋),11
鲜木耳(1),41
白玉菇(袋),13
虫草花,49
双孢菇,31
西峡花菇(1),7
黑皮鸡枞菌,1
鸡枞菌,1
银耳(朵),34
绣球菌,57
虫草花(袋),4
猴头菇,1
秀珍菇,52
金针菇(袋)(3),10
蟹味菇(袋),26
牛排菇,56
海鲜菇(袋)(4),15
虫草花(盒)(2),1
活体银耳,1
白玉菇(1),42
杏鲍菇(250克),48
金针菇(袋)(2),6
蟹味菇(1),40
海鲜菇(包),14
黑牛肝菌(盒),55
赤松茸(盒),55
猪肚菇(盒),59
牛排菇(盒),45
黑皮鸡枞菌(盒),58
杏鲍菇(份),36
海鲜菇(袋)(3),12
蟹味菇(盒),38
白玉菇(盒),33
金针菇(盒),2
虫草花(份),18
姬菇(份),25
双孢菇(份),47
海鲜菇(份),16
姬菇(2),54
海鲜菇(2),43
鲜木耳(2),51
西峡香菇(2),28
西峡花菇(2),53
金针菇(2),27
杏鲍菇(2),22
绣球菌(袋),1
双孢菇(盒),0
鲜木耳(份),21
和丰阳光海鲜菇(包),35
金针菇(份),1
黑牛肝菌,1
西峡香菇(份) ,24
茶树菇(袋),44
海鲜菇(袋)(2),20
菌蔬四宝(份),46
菌菇火锅套餐(份),50
蟹味菇与白玉菇双拼(盒),29
花菇(一人份),1
鹿茸菇(盒),60
赤松茸,1
